食品名,廃棄率,エネルギー,水分,アミノ酸組成によるたんぱく質,たんぱく質,脂肪酸のトリアシルグリセロール当量,コレステロール,脂質,利用可能炭水化物（単糖当量）,利用可能炭水化物（質量計）,差引き法による利用可能炭水化物,食物繊維,糖アルコール,炭水化物,有機酸,灰分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,αカロテン,βカロテン,βクリプトキサンチン,βカロテン当量,ビタミンA,ビタミンD,ビタミンE,βトコフェロール,γトコフェロール,δトコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ナイアシン当量,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,アルコール,食塩相当量
単位,%,kcal,g,g,g,g,mg,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,mg,mg,mg,mg,μg,mg,mg,mg,mg,mg,μg,μg,mg,μg,mg,g,g
つるあずき　全粒　乾,0,297,12.0,(17.8),20.8,1.0,(0),1.6,39.6,36.1,43.3,22.0,-,61.8,-,3.9,1,1400,280,230,320,11.0,3.1,0.73,2.92,0,3,4,220,(0),1,20,3,22,2,(0),0.1,0.1,5.4,8.1,50,0.50,0.13,2.0,(5.9),0.28,(0),210,0.75,9.7,3,-,0
つるあずき　全粒　ゆで,0,132,60.5,(8.4),9.7,(0.6),(0),1.0,(17.8),(16.2),15.8,13.4,-,27.5,-,1.3,0,370,130,77,120,3.3,1.2,0.30,0.57,-,-,-,-,(0),1,9,1,10,1,(0),0.1,Tr,2.5,3.7,24,0.16,0.04,0.5,(2.3),0.06,(0),48,0.14,-,Tr,-,0
ひよこまめ　全粒　乾,0,336,10.4,(16.7),20.0,4.3,(0),5.2,41.3,37.7,49.4,16.3,-,61.5,-,2.9,17,1200,100,140,270,2.6,3.2,0.84,-,1,11,1,150,(0),0,17,3,19,2,(0),2.5,0.1,7.7,0.6,9,0.37,0.15,1.5,(4.8),0.64,(0),350,1.77,21.0,Tr,-,0
ひよこまめ　全粒　ゆで,0,149,59.6,(7.9),9.5,2.1,(0),2.5,20.0,18.2,17.8,11.6,-,27.4,-,1.0,5,350,45,51,120,1.2,1.8,0.29,1.10,Tr,5,1,56,(0),-,-,-,17,1,(0),1.7,0,6.5,0.2,6,0.16,0.07,0.4,(1.9),0.18,(0),110,0.48,8.9,Tr,-,0
ひよこまめ　全粒　フライ　味付け,0,366,4.6,(15.7),18.8,8.1,(0),10.4,-,-,47.0,21.0,-,62.6,-,3.6,700,690,73,110,370,4.2,2.7,0.78,2.20,-,-,-,-,(0),0,4,-,4,Tr,(0),1.9,0.1,9.2,1.1,23,0.21,0.10,0.7,(3.8),0.50,(0),100,0.35,-,Tr,-,1.8
べにばないんげん　全粒　乾,0,273,15.4,(13.8),17.2,1.2,(0),1.7,36.2,33.1,38.4,26.7,-,61.2,-,4.5,1,1700,78,190,430,5.4,3.4,0.74,1.50,0,1,2,41,(0),-,-,-,4,Tr,(0),0.1,0.1,3.2,0.2,8,0.67,0.15,2.5,(5.7),0.51,0,140,0.81,8.4,Tr,-,0
べにばないんげん　全粒　ゆで,0,103,69.7,(5.0),6.2,0.4,(0),0.6,13.3,12.1,16.1,7.6,-,22.3,-,1.2,1,440,28,50,140,1.6,0.8,0.17,0.58,0,Tr,1,21,(0),-,-,-,1,Tr,(0),Tr,Tr,1.9,0.1,3,0.14,0.05,0.4,(1.6),0.11,Tr,23,0.18,3.0,Tr,-,0
やぶまめ　乾,0,383,13.1,-,23.4,-,-,10.1,-,-,49.5,-,-,49.5,-,3.9,5,1700,55,63,230,2.4,1.4,0.31,1.03,0,1,0,460,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.9,-,-,-,-,-,-,-,0
らいまめ　全粒　乾,0,306,11.7,(18.8),21.9,1.3,(0),1.8,37.2,33.8,44.8,19.6,-,60.8,-,3.8,Tr,1800,78,170,250,6.2,2.9,0.70,1.85,Tr,17,3,380,(0),0,5,3,6,Tr,(0),0.1,0,4.8,0.2,6,0.47,0.16,1.9,(5.7),0.40,(0),120,1.05,9.2,0,-,0
らいまめ　全粒　ゆで,0,122,62.3,(8.3),9.6,(0.7),(0),0.9,(16.4),(14.9),16.7,10.9,-,26.0,-,1.1,0,490,27,52,95,2.3,1.1,0.25,0.73,-,-,-,-,(0),0,2,1,3,0,(0),Tr,0,2.3,0.1,3,0.10,0.04,0.5,(2.2),0.08,(0),25,0.23,-,0,-,0
りょくとう　全粒　乾,0,319,10.8,20.7,25.1,1.0,(0),1.5,45.4,41.4,49.4,14.6,-,59.1,-,3.5,0,1300,100,150,320,5.9,4.0,0.91,-,0,2,3,410,(0),0,150,2,150,13,(0),0.3,0,6.4,0.6,36,0.70,0.22,2.1,6.2,0.52,(0),460,1.66,11.0,Tr,-,0
りょくとう　全粒　ゆで,0,125,66.0,(8.2),10.2,(0.4),(0),0.6,17.7,16.1,19.5,5.2,-,22.5,-,0.7,1,320,32,39,75,2.2,0.8,0.21,0.31,0,1,1,140,(0),-,-,-,85,7,(0),0.2,0.2,4.4,0.3,16,0.19,0.06,0.4,(2.1),0.05,(0),80,0.34,3.3,Tr,-,0
レンズまめ　全粒　乾,0,313,12.0,(19.7),23.2,1.0,(0),1.5,45.2,41.1,47.9,16.7,-,60.7,-,2.7,Tr,1000,57,100,430,9.0,4.8,0.95,1.57,0,54,2,180,(0),0,29,2,30,3,(0),0.8,0.1,5.2,Tr,17,0.52,0.17,2.5,(5.3),0.55,0,77,1.58,23.0,1,-,0
レンズまめ　全粒　ゆで,0,149,57.9,(9.5),11.2,(0.5),(0),0.8,(23.3),(21.2),21.7,9.4,-,29.1,-,1.1,0,330,27,44,190,4.3,2.5,0.44,0.81,-,-,-,-,(0),(0),14,1,15,1,(0),0.4,0.1,2.6,0,9,0.20,0.06,0.7,(2.1),0.16,(0),22,0.57,-,0,-,0
アーモンド　乾,0,609,4.7,18.7,19.6,51.9,-,51.8,5.5,5.2,11.5,10.1,-,20.9,-,3.0,1,760,250,290,460,3.6,3.6,1.17,2.45,-,-,-,-,(0),0,10,3,11,1,(0),30.0,0.3,0.8,0,0,0.20,1.06,3.6,7.2,0.09,(0),65,0.49,-,0,-,0
アーモンド　フライ　味付け,0,626,1.8,21.1,21.3,53.2,0,55.7,4.9,4.6,10.6,10.1,-,17.9,-,3.2,100,760,240,270,490,3.5,3.1,0.87,2.24,0,1,6,32,0,0,7,1,7,1,0,22.0,0.2,0.8,0.1,0,0.05,1.07,4.4,8.0,0.10,0,49,0.50,60.0,0,-,0.3
アーモンド　いり　無塩,0,608,1.8,(19.0),20.3,(54.2),-,54.1,(5.9),(5.6),10.9,11.0,-,20.7,-,3.1,Tr,740,260,310,480,3.7,3.7,1.19,2.46,-,-,-,-,(0),0,7,2,9,1,(0),29.0,0.3,0.7,0,0,0.03,1.04,3.9,(7.5),0.08,(0),48,0.26,-,0,-,0
あさ　乾,0,450,4.6,25.7,29.9,27.3,(0),28.3,2.6,2.5,14.0,23.0,-,31.7,-,5.5,2,340,130,400,1100,13.0,6.1,1.32,9.97,0,4,9,45,(0),1,25,0,25,2,(0),1.8,0.1,22.0,1.1,51,0.35,0.19,2.3,8.2,0.40,(0),82,0.57,28.0,Tr,-,0
あまに　いり,0,540,0.8,20.3,21.8,41.1,2,43.3,1.2,1.2,10.2,23.8,-,30.4,-,3.7,70,760,210,410,710,9.0,6.1,1.26,2.97,0,3,25,13,0,0,14,2,16,1,0,0.4,0,10.0,0.2,7,0.01,0.17,2.6,9.4,0.40,Tr,45,0.24,33.0,0,-,0.2
えごま　乾,0,523,5.6,16.9,17.7,40.6,(0),43.4,2.5,2.4,12.2,20.8,-,29.4,-,3.9,2,590,390,230,550,16.0,3.8,1.93,3.09,Tr,3,2,48,(0),Tr,23,1,24,2,(0),1.3,0.3,24.0,0.5,1,0.54,0.29,7.6,12.0,0.55,(0),59,1.65,35.0,Tr,-,0
カシューナッツ　フライ　味付け,0,591,3.2,19.3,19.8,47.9,(0),47.6,(18.6),(17.2),20.2,6.7,-,26.7,-,2.7,220,590,38,240,490,4.8,5.4,1.89,-,0,27,1,30,(0),-,-,-,10,1,(0),0.6,Tr,5.4,0.6,28,0.54,0.18,0.9,7.0,0.36,(0),63,1.32,19.0,0,-,0.6
かぼちゃ　いり　味付け,35,590,4.5,(25.3),26.5,(48.7),(0),51.8,(2.1),(2.0),9.0,7.3,-,12.0,-,5.2,47,840,44,530,1100,6.5,7.7,1.26,4.39,Tr,5,13,42,(0),2,29,2,31,3,(0),0.6,0.1,15.0,0.5,2,0.21,0.19,4.4,(13.0),0.16,(0),79,0.65,13.0,Tr,-,0.1
かや　いり,0,629,1.2,-,8.7,56.2,(0),64.9,-,-,13.1,18.2,-,22.6,-,2.6,6,470,58,200,300,3.3,3.7,0.92,2.62,-,-,-,-,(0),-,-,-,75,6,(0),8.5,68.0,1.1,0.8,3,0.02,0.04,1.5,3.0,0.17,(0),55,0.62,-,2,-,0
ぎんなん　生,25,168,57.4,4.2,4.7,1.3,(0),1.6,33.4,30.4,33.9,1.6,-,34.8,-,1.5,Tr,710,5,48,120,1.0,0.4,0.25,0.26,2,0,0,3,(0),-,-,-,290,24,(0),2.5,0.1,0.6,0,3,0.28,0.08,1.2,2.5,0.07,(0),45,1.27,6.2,23,-,0
ぎんなん　ゆで,0,169,56.9,(4.0),4.6,(1.2),(0),1.5,33.6,30.6,34.3,2.4,-,35.8,-,1.2,1,580,5,45,96,1.2,0.4,0.23,0.25,Tr,1,5,Tr,(0),-,-,-,290,24,(0),1.6,0.1,0.3,0,3,0.26,0.07,1.0,(2.3),0.02,(0),38,1.02,2.8,23,-,0
（くり類）　日本ぐり　生,30,147,58.8,2.4,2.8,(0.4),(0),0.5,33.5,30.6,33.2,4.2,-,36.9,-,1.0,1,420,23,40,70,0.8,0.5,0.32,3.27,0,3,0,2,(0),26,24,0,37,3,(0),0,0,3.0,0,1,0.21,0.07,1.0,1.6,0.27,(0),74,1.04,3.9,33,-,0
（くり類）　日本ぐり　ゆで,20,152,58.4,(2.9),3.5,0.5,(0),0.6,32.8,30.0,30.8,6.6,-,36.7,-,0.8,1,460,23,45,72,0.7,0.6,0.37,1.07,-,-,-,-,(0),26,24,0,37,3,(0),0,0,3.3,0,0,0.17,0.08,1.0,(1.7),0.26,(0),76,1.06,-,26,-,0
（くり類）　日本ぐり　甘露煮,0,232,40.8,(1.5),1.8,(0.3),(0),0.4,-,-,54.4,2.8,-,56.8,-,0.2,7,75,8,8,25,0.6,0.1,0.15,0.75,-,-,-,-,(0),15,24,0,32,3,(0),0,0,1.8,0,Tr,0.07,0.03,0.3,(0.7),0.03,(0),8,0.18,-,0,-,0
（くり類）　中国ぐり　甘ぐり,20,207,44.4,(4.3),4.9,(0.9),(0),0.9,(43.9),(40.2),40.6,8.5,-,48.5,-,1.3,2,560,30,71,110,2.0,0.9,0.51,1.59,0,1,0,1,(0),33,52,0,68,6,(0),0.1,Tr,12.0,0.2,0,0.20,0.18,1.3,(2.2),0.37,(0),100,0.57,6.0,2,-,0
くるみ　いり,0,713,3.1,13.4,14.6,70.5,(0),68.8,2.8,2.6,3.7,7.5,-,11.7,-,1.8,4,540,85,150,280,2.6,2.6,1.21,3.44,-,-,-,-,(0),-,-,-,23,2,(0),1.2,0.1,24.0,2.6,7,0.26,0.15,1.0,4.4,0.49,(0),91,0.67,-,0,-,0
けし　乾,0,555,3.0,(20.2),19.3,47.6,(0),49.1,3.3,3.2,5.8,16.5,-,21.8,-,6.8,4,700,1700,350,820,23.0,5.1,1.48,6.88,0,8,7,120,(0),0,6,0,6,Tr,(0),1.5,Tr,9.4,0.1,Tr,1.61,0.20,1.0,(4.3),0.45,(0),180,0.81,47.0,0,-,0
ココナッツ　ココナッツパウダー,0,676,2.5,(5.6),6.1,(64.3),(0),65.8,(6.4),(2.7),11.5,14.1,-,23.7,-,1.9,10,820,15,110,140,2.8,1.4,0.80,1.41,-,-,-,-,(0),-,-,-,(0),(0),(0),0,0,0,0,0,0.03,0.03,1.0,(1.9),0.09,(0),10,0.25,-,0,-,0
ごま　乾,0,604,4.7,19.3,19.8,53.0,(0),53.8,1.0,0.9,7.0,10.8,-,16.5,-,5.2,2,400,1200,370,540,9.6,5.5,1.66,2.24,Tr,10,4,92,(0),0,8,1,9,1,(0),0.1,0.2,22.0,0.3,7,0.95,0.25,5.1,11.0,0.60,(0),93,0.56,12.0,Tr,-,0
ごま　いり,0,605,1.6,19.6,20.3,51.6,(0),54.2,0.8,0.7,9.3,12.6,-,18.5,-,5.4,2,410,1200,360,560,9.9,5.9,1.68,2.52,Tr,27,4,110,(0),0,7,1,7,1,(0),0.1,0.2,23.0,0.4,12,0.49,0.23,5.3,11.0,0.64,(0),150,0.51,15.0,Tr,-,0
ごま　むき,0,570,4.1,19.0,19.3,44.8,(0),54.9,0.6,0.5,16.2,13.0,-,18.8,-,2.9,2,400,62,340,870,6.0,5.5,1.53,1.23,1,43,1,120,(0),Tr,2,1,2,0,(0),0.1,Tr,32.0,0.5,1,1.25,0.14,5.3,11.0,0.44,(0),83,0.39,11.0,(0),-,0
ごま　ねり,0,646,0.5,(18.3),19.0,57.1,(0),61.0,(0.8),(0.8),9.0,11.2,-,15.6,-,3.8,6,480,590,340,670,5.8,5.3,1.50,1.80,Tr,22,5,150,(0),0,7,1,8,1,(0),0.1,0,29.0,0.4,0,0.32,0.15,6.8,(12.0),0.51,(0),99,0.24,13.0,0,-,0
しい　生,35,244,37.3,(2.6),3.2,(0.8),(0),0.8,-,-,54.9,3.3,-,57.6,-,1.1,1,390,62,82,76,0.9,0.1,0.36,2.72,-,-,-,-,(0),-,-,-,7,1,(0),0.1,0,8.7,0.1,16,0.28,0.09,1.3,(1.9),0.19,(0),8,0.59,-,110,-,0
すいか　いり　味付け,60,528,5.9,(28.7),29.6,36.9,(0),46.4,2.3,2.2,16.7,7.1,-,13.4,-,4.7,580,640,70,410,620,5.3,3.9,1.49,1.43,24,11,1,90,(0),0,9,1,9,1,(0),0.6,0.1,20.0,0.6,1,0.10,0.16,0.8,(7.6),0.71,(0),120,1.04,9.1,Tr,-,1.5
チアシード　乾,0,446,6.5,18.0,19.4,32.7,1,33.9,0.9,0.9,0,36.9,-,34.5,0.8,4.7,0,760,570,360,820,7.6,5.9,1.79,4.80,0,11,8,44,(0),0,3,0,3,0,(0),0.3,0,14.0,0.5,1,0.97,0.25,9.8,15.0,0.42,(0),84,0.53,24.0,1,-,0
とち　蒸し,0,148,58.0,(1.5),1.7,-,(0),1.9,-,-,27.8,6.6,-,34.2,-,4.2,250,1900,180,17,27,0.4,0.5,0.44,1.46,-,-,-,-,(0),0,0,0,0,(0),(0),0,0,1.5,0,1,Tr,0,0.1,(0.4),Tr,(0),1,0,-,0,-,0.6
はす　未熟　生,55,81,77.5,(5.8),5.9,0.4,(0),0.5,(13.2),(12.0),12.5,2.6,-,14.9,-,1.2,2,410,53,57,190,0.6,0.8,0.22,1.33,-,-,-,-,(0),0,5,0,5,Tr,(0),0.6,0,1.2,0,1,0.18,0.09,1.4,(2.8),0.16,(0),230,0.85,-,27,-,0
はす　成熟　乾,0,327,11.2,(18.0),18.3,1.6,(0),2.3,52.1,47.4,54.9,10.3,-,64.3,-,3.9,6,1300,110,200,690,2.9,2.8,1.12,8.25,10,8,Tr,14,(0),0,6,Tr,6,1,(0),1.0,0,2.9,0,0,0.44,0.11,4.2,(8.6),0.60,(0),200,2.58,27.0,1,-,0
はす　成熟　ゆで,0,118,66.1,(7.2),7.3,(0.5),(0),0.8,(19.9),(18.1),20.3,5.0,-,25.0,-,0.9,1,240,42,67,190,1.1,0.2,0.30,2.92,-,-,-,-,(0),(0),3,Tr,3,0,(0),0.4,0,1.3,0,0,0.08,0.02,0.7,(2.4),0.12,(0),36,0.32,-,0,-,0
（ひし類）　ひし　生,50,183,51.8,(5.5),5.8,0.3,(0),0.5,15.6,14.3,38.3,2.9,-,40.6,-,1.3,5,430,45,84,150,1.1,1.3,0.06,0.60,Tr,Tr,0,2,(0),-,-,-,7,1,(0),1.6,Tr,8.1,0.2,2,0.42,0.08,1.2,(3.1),0.32,(0),430,0.71,11.0,12,-,0
（ひし類）　とうびし　生,50,122,64.3,2.6,2.7,0.2,-,0.4,30.5,27.8,23.2,8.2,-,31.4,0.4,1.1,13,470,27,49,140,0.7,0.9,0.07,0.35,Tr,1,0,2,-,0,3,1,3,0,-,1.4,0.1,8.5,0.4,1,0.25,0.03,2.2,3.0,0.18,-,110,0.36,8.7,7,-,0
（ひし類）　とうびし　ゆで,45,120,65.5,2.5,2.7,0.1,-,0.3,28.2,25.7,25.4,5.1,-,30.5,0.4,1.0,12,410,25,45,130,0.5,0.8,0.05,0.27,Tr,1,0,1,-,-,2,1,3,0,-,1.2,Tr,8.7,0.5,-,0.19,0.03,1.9,2.7,0.12,-,71,0.37,7.3,5,-,0
ピスタチオ　いり　味付け,45,617,2.2,16.2,17.4,55.9,(0),56.1,(8.2),(7.7),13.1,9.2,-,20.9,-,3.4,270,970,120,120,440,3.0,2.5,1.15,-,-,-,-,-,(0),0,120,0,120,10,(0),1.4,Tr,26.0,0.6,29,0.43,0.24,1.0,5.5,1.22,(0),59,1.06,-,(0),-,0.7
ひまわり　フライ　味付け,0,603,2.6,19.2,20.1,49.0,(0),56.3,2.4,2.3,17.4,7.9,-,17.2,0.2,3.8,250,750,81,390,830,3.6,5.0,1.81,2.33,0,95,1,28,(0),Tr,9,1,10,1,(0),12.0,1.4,0.4,0.1,0,1.72,0.25,6.7,11.7,1.18,(0),280,1.66,80.1,0,-,0.6
ブラジルナッツ　フライ　味付け,0,703,2.8,(14.1),14.9,68.9,(0),69.1,(3.1),(2.9),3.4,7.2,-,9.6,-,3.6,78,620,200,370,680,2.6,4.0,1.95,1.29,-,-,-,-,(0),-,-,-,12,1,(0),4.1,Tr,16.0,0.3,Tr,0.88,0.26,1.5,(3.8),0.25,(0),1,0.23,-,0,-,0.2
ヘーゼルナッツ　フライ　味付け,0,701,1.0,(11.0),13.6,69.3,(0),69.3,(4.9),(4.6),9.1,7.4,-,13.9,-,2.2,35,610,130,160,320,3.0,2.0,1.64,5.24,0,1,1,6,(0),-,-,-,Tr,(0),(0),18.0,0.7,9.4,0.4,4,0.26,0.28,1.0,(4.2),0.39,(0),54,1.07,82.0,0,-,0.1
ペカン　フライ　味付け,0,716,1.9,(8.0),9.6,71.9,(0),73.4,(5.9),(5.6),9.3,7.1,-,13.3,-,1.8,140,370,60,120,270,2.7,3.6,0.84,4.37,-,-,-,-,(0),0,36,17,45,4,(0),1.7,0.8,25.0,0.6,4,0.19,0.19,0.8,(2.4),0.19,(0),43,1.49,-,0,-,0.4
マカダミアナッツ　いり　味付け,0,751,1.3,7.7,8.3,76.6,(0),76.7,(4.8),(4.5),6.7,6.2,-,12.2,-,1.5,190,300,47,94,140,1.3,0.7,0.33,-,0,13,2,5,(0),-,-,-,Tr,(0),(0),Tr,0,0,0,5,0.21,0.09,2.1,3.7,0.21,(0),16,0.50,6.5,(0),-,0.5
まつ　生,0,681,2.5,(14.5),15.8,66.7,(0),68.2,(4.0),(3.8),9.3,4.1,-,10.6,-,2.9,2,730,14,290,680,5.6,6.9,1.44,9.78,-,-,-,-,(0),0,0,0,0,(0),(0),11.0,0.6,4.4,0,1,0.63,0.13,3.6,(6.3),0.17,(0),79,0.59,-,Tr,-,0
まつ　いり,0,724,1.9,13.7,14.6,70.6,(0),72.5,5.4,5.1,4.0,6.9,-,8.1,-,2.9,4,620,15,250,550,6.2,6.0,1.30,-,-,-,-,-,(0),-,-,-,0,(0),(0),12.0,Tr,12.0,0.6,27,0.61,0.21,3.6,6.1,0.10,(0),73,0.42,-,(0),-,0
らっかせい　大粒種　乾,30,572,6.0,24.0,25.2,46.4,(0),47.0,10.7,10.0,12.4,8.5,-,19.4,0.3,2.3,2,740,49,170,380,1.6,2.3,0.59,1.56,1,20,4,88,0,0,6,3,8,1,0,11.0,0.3,7.1,0.3,0,0.41,0.10,20.0,24.0,0.49,(0),76,2.56,92.0,0,-,0
らっかせい　大粒種　いり,30,613,1.7,23.6,25.0,50.5,(0),49.6,10.8,10.1,10.1,11.4,-,21.3,0.4,2.4,2,760,50,200,390,1.7,3.0,0.69,2.15,1,2,0,96,(0),0,5,3,6,1,(0),10.0,0.3,7.0,0.3,Tr,0.24,0.13,23.0,28.0,0.46,(0),58,2.20,110.0,0,-,0
らっかせい　小粒種　乾,30,573,6.0,(24.2),25.4,46.9,(0),47.5,(10.7),(10.0),13.2,7.4,-,18.8,-,2.3,2,740,50,170,380,1.6,2.3,0.59,1.56,1,20,4,88,(0),-,-,-,6,1,(0),10.0,0.4,6.0,0.3,Tr,0.85,0.10,17.0,(22.0),0.46,(0),76,2.56,92.0,(0),-,0
らっかせい　小粒種　いり,30,607,2.1,(25.0),26.5,(50.3),(0),49.4,(10.7),(10.0),13.0,7.2,-,19.6,-,2.4,2,770,50,200,390,1.7,3.0,0.69,-,-,-,-,-,(0),-,-,-,7,1,(0),11.0,0.3,7.1,0.3,Tr,0.23,0.10,17.0,(22.0),0.46,(0),57,2.19,-,(0),-,0
らっかせい　バターピーナッツ,0,609,2.4,22.6,23.3,51.8,(0),53.2,8.9,8.3,10.6,9.5,-,18.3,0.3,2.8,120,700,50,190,380,2.0,3.1,0.64,2.81,1,5,1,68,(0),0,4,2,5,Tr,(0),1.9,0.2,3.3,0.4,Tr,0.20,0.10,17.0,21.0,0.48,(0),98,2.42,96.0,0,-,0.3
らっかせい　ピーナッツバター,0,599,1.2,19.7,20.6,47.8,(0),50.4,19.8,18.6,20.5,7.6,-,24.9,0.3,2.9,350,650,47,180,370,1.6,2.7,0.65,1.45,1,5,3,92,(0),0,3,2,4,Tr,(0),4.8,0.3,7.1,0.5,0,0.10,0.09,16.0,20.0,0.36,(0),86,1.87,79.0,(0),-,0.9
アーティチョーク　花らい　生,75,39,85.1,(1.9),2.3,(0.1),(0),0.2,(1.0),(0.9),3.1,8.7,-,11.3,-,1.1,21,430,52,50,61,0.8,0.2,0.05,0.19,-,-,-,-,(0),0,6,0,6,1,(0),0.4,0,0,0,2,0.08,0.10,1.2,(1.9),0.08,(0),81,0.51,-,15,-,0.1
アーティチョーク　花らい　ゆで,80,35,85.9,(1.7),2.1,(0.1),(0),0.1,(0.9),(0.9),2.6,8.6,-,10.8,-,1.1,12,380,47,46,55,0.7,0.2,0.05,0.15,-,-,-,-,(0),0,5,0,5,Tr,(0),0.4,0,0,0,2,0.07,0.08,1.1,(1.7),0.06,(0),76,0.51,-,11,-,0
アイスプラント　生,0,5,96.2,0.5,0.5,Tr,-,0.3,0.1,0.1,0.2,0.8,-,1.2,0.5,1.4,380,260,18,11,24,0.2,0.2,0.03,0.83,4,Tr,0,28,-,5,1200,5,1200,100,-,0.5,Tr,Tr,0,73,0.02,0.05,0.2,0.5,0.05,-,24,0.10 ,0.7,9,-,1.0 
あさつき　葉　生,0,34,89.0,(2.9),4.2,(0.1),(0),0.3,-,-,3.8,3.3,-,5.6,-,0.9,4,330,20,16,86,0.7,0.8,0.09,0.40,-,-,-,-,(0),0,740,12,750,62,(0),0.9,Tr,1.6,0,50,0.15,0.16,0.8,(1.8),0.36,(0),210,0.62,-,26,-,0
あさつき　葉　ゆで,0,41,87.3,(2.9),4.2,(0.1),(0),0.3,-,-,5.4,3.4,-,7.3,-,0.9,4,330,21,17,85,0.7,0.8,0.09,0.43,-,-,-,-,(0),0,710,11,720,60,(0),0.9,Tr,1.6,0,43,0.17,0.15,0.7,(1.7),0.27,(0),200,0.55,-,27,-,0
あしたば　茎葉　生,2,30,88.6,(2.4),3.3,-,(0),0.1,-,-,2.0,5.6,-,6.7,-,1.3,60,540,65,26,65,1.0,0.6,0.16,1.05,-,-,-,-,(0),0,5300,0,5300,440,(0),2.6,0.2,1.4,0.1,500,0.10,0.24,1.4,(2.2),0.16,(0),100,0.92,-,41,-,0.2
あしたば　茎葉　ゆで,0,28,89.5,(2.1),2.9,-,(0),0.1,-,-,2.1,5.3,-,6.6,-,0.9,43,390,58,20,51,0.5,0.3,0.13,0.92,-,-,-,-,(0),0,5200,0,5200,440,(0),2.7,Tr,1.4,0,380,0.07,0.16,0.8,(1.5),0.10,(0),75,0.45,-,23,-,0.1
アスパラガス　若茎　生,20,21,92.6,1.8,2.6,(0.2),Tr,0.2,2.1,2.1,2.7,1.8,-,3.9,0.2,0.7,2,270,19,9,60,0.7,0.5,0.10,0.19,1,0,0,2,(0),5,370,9,380,31,(0),1.5,Tr,0.2,0,43,0.14,0.15,1.0,1.4,0.12,(0),190,0.59,1.8,15,-,0
アスパラガス　若茎　ゆで,0,25,92.0,(1.8),2.6,(0.1),Tr,0.1,(2.3),(2.3),3.3,2.1,-,4.6,-,0.7,2,260,19,12,61,0.6,0.6,0.13,0.23,-,-,-,-,(0),2,360,8,370,30,(0),1.6,0,0.1,0,46,0.14,0.14,1.1,(1.5),0.08,(0),180,0.54,-,16,-,0
アスパラガス　若茎　油いため,0,54,88.3,(2.0),2.9,(3.7),(Tr),3.9,(2.3),(2.3),3.1,2.1,-,4.1,-,0.8,3,310,21,10,66,0.7,0.5,0.11,0.22,-,-,-,-,(0),4,370,11,380,31,(0),2.0,Tr,1.3,0,48,0.15,0.17,1.2,(1.7),0.11,(0),220,0.58,-,14,-,0
アスパラガス　水煮缶詰,0,24,91.9,(1.6),2.4,(0.1),(0),0.1,(2.3),(2.3),3.4,1.7,-,4.3,-,1.3,350,170,21,7,41,0.9,0.3,0.07,0.05,-,-,-,-,(0),0,7,0,7,1,(0),0.4,0,0,0,4,0.07,0.06,1.2,(1.6),0.02,(0),15,0.12,-,11,-,0.9
アロエ　葉　生,30,3,99.0,-,0,-,(0),0.1,-,-,0.3,0.4,-,0.7,-,0.3,8,43,56,4,2,0,0,Tr,0.02,-,-,-,-,(0),0,1,0,1,0,(0),0,0,0,0,0,0,0,0,0,0.01,(0),4,0.06,-,1,-,0
いんげんまめ　さやいんげん　若ざや　生,3,23,92.2,1.3,1.8,(0.1),Tr,0.1,2.2,2.2,3.0,2.4,-,5.1,0.3,0.8,1,260,50,23,41,0.7,0.3,0.06,0.33,Tr,0,0,18,(0),140,520,0,590,49,(0),0.2,0,0.4,0,60,0.06,0.11,0.6,0.9,0.07,(0),50,0.17,4.5,8,-,0
いんげんまめ　さやいんげん　若ざや　ゆで,0,24,91.7,(1.2),1.8,(0.2),Tr,0.2,(2.4),(2.3),(2.0),3.9,-,5.5,0.3,0.8,1,270,53,22,43,0.7,0.3,0.06,0.34,Tr,0,0,20,(0),150,500,0,580,48,(0),0.2,0,0.4,0,51,0.06,0.10,0.5,(0.8),0.07,(0),53,0.16,4.2,6,-,0
（うど類）　うど　茎　生,35,19,94.4,(0.8),0.8,-,(0),0.1,-,-,2.9,1.4,-,4.3,-,0.4,Tr,220,7,9,25,0.2,0.1,0.05,0.04,Tr,0,0,0,(0),0,0,0,0,(0),(0),0.2,0,0,0,2,0.02,0.01,0.5,(0.7),0.04,(0),19,0.12,0.5,4,-,0
（うど類）　うど　茎　水さらし,0,13,95.7,(0.6),0.6,-,(0),0,-,-,1.8,1.6,-,3.4,-,0.3,Tr,200,6,8,23,0.1,0.1,0.04,0.03,-,-,-,-,(0),0,0,0,0,(0),(0),0.1,0,0,0,2,0.01,0.02,0.5,(0.6),0.03,(0),19,0.08,-,3,-,0
